ID  ,问题                                                                                                                                                                    ,答案
4054,教育提前批大概会分配到哪里                                                                                                                                                         ,"我校在广东省的批次如下：普通类师范专业在提前批录取，在提前批非军检院校栏填报志愿，不包分配，院校代码10574。而公费定向培养粤东西北中小学教师专项计划60名，也是在提前批录取，免费入学，毕业后到指定的地区服务6年，另设院校代码20574。华南师范大学招收高中起点公费定向培养粤东粤西...[详细]
"
4055,老师，请问报考教师专项是在哪个校区上课？报考教师专项跟其他师范生在学校的待遇是不是不一样？毕业证是一样的吗？                                                                                                                ,"1、石牌校区教育科学学院2、我校今年新增公费定向培养粤东西北中小学教师专项计划60名，免费入学，毕业后到指定的地区服务6年。华南师范大学招收高中起点公费定向培养粤东粤西粤北地区中小学教师专项计划招生办法https://zsb.scnu.edu.cn/a/20200519/417.html3、毕业证都属于华南师范大学。
"
4056,音乐学专业在河南招几个人，有乐器限制吗？萨克斯可以报吗？                                                                                                                                          ,"我校2020年音乐学院音乐学（师范）专业在河南省招收计划3人，不分方向录取，具体以各省级招办公布的专业目录及计划为准。
"
4057,地方专项计划教师类的有什么条件才能报呀？报了的话会不会容易被退档？                                                                                                                                     ,"重点高校招收贫困地区农村学生专项计划，即2020年地方专项计划，仅限拟获资格考生报考。具体实施区域、报考条件由各省（区、市）根据本地实际情况确定，2020年的户籍、学籍资格审核工作已结束，符合条件的考生已知情。
"
4058,有可以专升本的专业吗？                                                                                                                                                           ,"我校只进行本科批次的招生。2020年华南师范大学与高职院校协同育人三二分段招生信息http://zyjy.scnu.edu.cn/a/20200724/1081.html
"
4059,今年海南的录取分数线                                                                                                                                                            ,"由于今年报考情况未知，暂时无法估计今年录取分数线。录取原则：在浙江、山东、海南等高考综合改革省份的选考科目要求按照（提前）公布的选考科目要求执行，按所在省考试院公布的方案及有关办法执行。
"
4060,您好，请问今年高考分数576排名34012，考上贵校的几率会不会很低？                                                                                                                                   ,"由于今年报考情况未知，暂时无法估计今年录取分数线。请考生参考我校往年录取情况https://zsb.scnu.edu.cn/zhiyuancankao/
"
4061,请问贵校今年在河北省招收声乐类学生吗？                                                                                                                                                   ,"我校2020年招生计划中音乐学院在河北省没有招生。2020年招生计划参见https://zsb.scnu.edu.cn/a/20190614/388.html
"
4062,贵校的教室专项只招收理科生吗                                                                                                                                                        ,"是的，广东省内理科考生。
"
4063,一般女生是几人间呢？是上下铺还是上床下桌？                                                                                                                                                 ,"建议咨询宿管中心：85211153
"
4064,请问贵校教师专项计划是面向全省还是只面向汕尾地区吗？                                                                                                                                            ,"我校今年新增公费定向培养粤东西北中小学教师专项计划60名，仅广东省内理科考生可报考，免费入学，毕业后到指定的地区服务6年。华南师范大学招收高中起点公费定向培养粤东粤西粤北地区中小学教师专项计划招生办法https://zsb.scnu.edu.cn/a/20200519/417.html
"
4065,该校有没有专科呀                                                                                                                                                              ,"我校只进行本科批次的招生。
"
4066,如果达到录取线，也服从调剂，学生会退档吗                                                                                                                                                  ,"我校广东省本科批次中录取，考生服从专业调剂不退档（除考生身体体检不符合录取条件外）
"
4067,湖南文科617分可以报考你校吗，排名1877                                                                                                                                                ,"由于今年报考情况未知，暂时无法估计今年录取分数线。请考生参考我校往年录取情况https://zsb.scnu.edu.cn/zhiyuancankao/
"
4068,2020年广东省排名1万6仟名内能报读心理学院吗?(非师范生)                                                                                                                                       ,"由于今年报考情况未知，暂时无法估计今年录取分数线。请考生参考我校往年录取情况https://zsb.scnu.edu.cn/zhiyuancankao/
"
4069,甘肃文科考生578分1550名能考上吗？能上什么专业                                                                                                                                            ,"由于今年报考情况未知，暂时无法估计今年录取分数线。请考生参考我校往年录取情况https://zsb.scnu.edu.cn/zhiyuancankao/ 
"
4070,请问学校收专科的学生吗，专科要多少分才能被录取，排位要多少                                                                                                                                         ,"我校只进行本科批次的招生。
"
4071,请问贵校今年甘肃招不招音乐表演，按照怎样录取呢？我是古典吉他专专业264文化课364分，可否报考贵校？                                                                                                                   ,"2020年我校音乐学院音乐表演专业在甘肃省没有招生计划，音乐学（师范）专业在甘肃省招生5人。录取原则：根据各省（自治区、直辖市）投档规则出档后，音乐类、舞蹈类专业分专业录取时，广东省计划以投档总分按“分数优先，遵循志愿”的原则录取；其它外省计划按术科统考成绩从高到低录取，术科...[详细]
"
4072,问题如上                                                                                                                                                                  ,"依据2020年华南师范大学招生章程第五章https://zsb.scnu.edu.cn/a/20200708/427.html，根据各省（自治区、直辖市）投档规则出档后，文科、理科类专业分专业录取时，先按考生所填报的第一专业志愿从高分到低分录取（相同分数的按排位先后录取）。未被第一专业志愿录取的考生，按“分数优先，遵...[详细]
"
4073,广州籍美术生联考228文科424总分512排位4116报考贵校有希望吗？贵校对单科成绩有没有限制？高考数学未达及格线。                                                                                                           ,"根据各省（自治区、直辖市）投档规则出档后，美术类专业分专业录取时，广东省计划以投档总分按“分数优先，遵循志愿”的原则录取；外省计划按术科统考成绩从高到低录取，术科统考成绩相同的，按高考文化成绩（排位）录取。
"
4074,请问报贵校提前批里本科教师专项有什么要求                                                                                                                                                  ,"我校今年新增公费定向培养粤东西北中小学教师专项计划60名，免费入学，毕业后到指定的地区服务6年。华南师范大学招收高中起点公费定向培养粤东粤西粤北地区中小学教师专项计划招生办法https://zsb.scnu.edu.cn/a/20200519/417.html
"
4075,您好，我是今年的广东文科考生，分数是540分，排名是18120。想问贵校的地方专项计划(免费师范生)有没有历史师范，然后小学教育是不是只有教小学                                                                                              ,"1、今年我校教师专项计划只招收广东省内理科考生。我校今年新增公费定向培养粤东西北中小学教师专项计划60名，免费入学，毕业后到指定的地区服务6年。华南师范大学招收高中起点公费定向培养粤东粤西粤北地区中小学教师专项计划招生办法https://zsb.scnu.edu.cn/a/20200519/417.html2、重点高...[详细]
"
4076,请问贵校学费一年大概在什么范围。本人高考576，排名34120是否有机会被录取？                                                                                                                              ,"由于今年报考情况未知，暂时无法估计今年录取分数线。请考生参考我校往年录取情况https://zsb.scnu.edu.cn/zhiyuancankao/收费标准参见2020年华南师范大学招生章程第八章https://zsb.scnu.edu.cn/a/20200708/427.html
"
4077,教师专项计划的大概情况                                                                                                                                                           ,"今年我校教师专项计划只招收广东省内理科考生。我校今年新增公费定向培养粤东西北中小学教师专项计划60名，免费入学，毕业后到指定的地区服务6年。华南师范大学招收高中起点公费定向培养粤东粤西粤北地区中小学教师专项计划招生办法https://zsb.scnu.edu.cn/a/20200519/417.html
"
4078,河北省中国舞专业省考155文化480有希望上吗                                                                                                                                               ,"由于今年报考情况未知，暂时无法估计今年录取分数线。根据各省（自治区、直辖市）投档规则出档后，音乐类、舞蹈类专业分专业录取时，广东省计划以投档总分按“分数优先，遵循志愿”的原则录取；其它外省计划按术科统考成绩从高到低录取，术科统考成绩相同的，按高考文化成绩（排位）录取。
"
4079,请问贵校今年的教师专项招生是不是不招文科生了?为什么我在文科的高考指南和专业目录那没有看到贵校的填报代码                                                                                                                  ,"今年我校教师专项计划只招收广东省内理科考生。
"
4080,我是甘肃音乐考生。请问贵校是按照专业排名录取还是文化课与专业综合分录取？                                                                                                                                  ,"根据各省（自治区、直辖市）投档规则出档后，音乐类、舞蹈类专业分专业录取时，广东省计划以投档总分按“分数优先，遵循志愿”的原则录取；其它外省计划按术科统考成绩从高到低录取，术科统考成绩相同的，按高考文化成绩（排位）录取。
"
4081,贵校对海南招收音乐表演2个指的是声乐的吗？                                                                                                                                                 ,"以各省级招办公布的专业目录及计划为准。录取原则：在浙江、山东、海南等高考综合改革省份的选考科目要求按照（提前）公布的选考科目要求执行，按所在省考试院公布的方案及有关办法执行。必须达到各省要求的文化和术科的分数线，达到分数线以后按各省的投档原则投到院校，我校录取外省计划按...[详细]
"
4082,贵校有在今年招收海南体育学生吗                                                                                                                                                       ,"我校普通体育类只在广东省招生，高水平运动队和运动训练专业在全国范围内招生。
"
4083,大学城校区和本校校区有什么不同？                                                                                                                                                      ,"我校一校三区主要是办学地点不同。石牌校区：广州市天河区中山大道西55号，邮政编码：510631。大学城校区：广州市番禺区广州大学城外环西路378号，邮政编码：510006。南海校区：佛山市南海区狮山镇南海软件科技园，邮政编码：528225。
"
4084,我是文科生，如果服从专业调剂，请问是否会调整到理科类招生的专业？                                                                                                                                      ,"不会，只调剂同批次同代码同科类的专业。
"
4085,请问下今年还有国际本科吗2+23+1这种到时候一两年是必须出国吗                                                                                                                                      ,"学校不断推进本科教育国际化，与国（境）外110多所院校有交换生合作培养协议，选拔学生出国（境）进行课程学习、实习实践、短期交流等。学校构建“双库、两渠道、多选择”的本科出国学习管理机制，对国家公派留学、学校公派留学、课程交换学习、短期交流等项目予以资金奖助，鼓励本科生追求卓...[详细]
"
4086,填报华师志愿时地方专项计划是填在提前批还是本科批？                                                                                                                                             ,"本科批，院校代码30574。
"
4087,贵校今年在内蒙古的招生情况是怎样的？都有什么专业？                                                                                                                                             ,"我校2020年招生计划参见https://zsb.scnu.edu.cn/a/20190614/388.html
"
4088,贵校今年对湖北省有音乐教育，声乐表演招生吗？                                                                                                                                                ,"我校音乐与舞蹈学类今年在浙江、江西、河南、湖北、湖南、广东、海南、甘肃招生，以上省份只招部分专业，具体专业招生计划现在未定。具体专业招生情况以各省（区、市）招生考试机构最终公布的2020年招生计划来源表为准。
"
4089,请问贵校美术2019专业录取分数多少？今年是提前批还是统考批？还是专业录取吗                                                                                                                                ,"我校美术今年没有山东的招生计划
"
4090,老师你好，贵学校在湖南有招生计划吗，我是湖南省的美术考生，联考是230分，在湖南省2020年预计招生多少人?建议多少分以上考生报考？往年分数线是多少？艺术类专业的投档比例是多少？还有今年录取规则是什么？谢谢了，辛苦老师了。                                                       ,"我校美术学与设计学类今年在河北、福建、江西、河南、湖北、湖南、广东、广西、海南、四川招生，以上省份只招部分专业，具体专业招生计划现在未定。具体专业招生情况以各省（区、市）招生考试机构最终公布的2020年招生计划来源表为准。2020年美术与设计学类录取原则：根据各省（自治区、直辖...[详细]
"
4091,请问招宁夏的音乐考生吗                                                                                                                                                           ,"我校今年宁夏没有招生计划
"
4092,你好老师咱们学校招河北钢琴专业学生吗，怎么招，预录取吗？，录视频吗？在哪报名                                                                                                                                ,"你好，我校河北今年没有音乐类招生计划
"
4093,您好，2020年在河北省投放舞蹈学招生计划吗？                                                                                                                                               ,"你好，我校今年在河北没有音乐和舞蹈类招生计划
"
4094,请问贵校美术设计学类专业在湖南的招生是文科生和理科生按综合分合在一起排序录取的，还是文科和理科分开排序录取？                                                                                                                ,"你好，我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将另行发布.
"
4095,请问贵校招（声乐演唱）民族唱法学生吗？                                                                                                                                                   ,"我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将另行发布.
"
4096,请问贵校需要校考吗？2020年古筝专业在内蒙古招生人数是多少？2019年音乐表演古筝考生文化课和专业课录取分数线分别是多少？音乐学专业只招特需乐器是吗？                                                                                          ,"我校2020年在内蒙古应该没有音乐类招生计划，具体以招生章程和各省专业目录为准
"
4097,请问贵校今年在内蒙古地区是否有音乐表演（钢琴）专业招生                                                                                                                                           ,"我校今年在内蒙古应该没有艺术类招生计划，具体以各省招生目录为准
"
4098,舞蹈学招生在广西是文理兼收吗？                                                                                                                                                       ,"如果广西省的舞蹈学专业计划需要分文理科，则我校只招文科具体计划投放和文理科要求以各省专业目录公布的为准
"
4099,请问今年音乐专业对湖北招生吗文化要求是怎么样呢湖北招多少呢                                                                                                                                         ,"你好，我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将另行发布.
"
4100,请问今年在河南是否有古筝招生计划?若有，几个?是否承认省统考成绩?去年招生文化课最低线多少分?谢谢                                                                                                                     ,"根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）本科招生校考，直接使用考生所在省份提供的统考成绩作为考生的专业考试成...[详细]
"
4101,请问贵校在湖北招民族民间舞考生吗？有招生计划吗？承认联考统考成绩吗？                                                                                                                                    ,"你好，根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计...[详细]
"
4102,请问贵校舞蹈学专业在广东省招理科生吗？什么时候能出招生简章？                                                                                                                                        ,"按往年情况艺术类在广东应该是文理兼招，具体以我校2020年招生章程为准我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将另行发布.请留意我校官网
"
4103,福建的，想问贵校舞蹈专业现在校考的报名是结束了吗还是用网上视频或者统考成绩？                                                                                                                                ,"你好，根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）本科招生校考，直接使用考生所在省份提供的统考成绩作为考生的专业...[详细]
"
4104,贵校2019年河南文科美术类录取原则和录取分数                                                                                                                                               ,"未定，请留意我校官网
"
4105,请问贵校在招生时看的是综合成绩排名，还是先排艺术再看文化？                                                                                                                                         ,"你好，我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将另行发布.
"
4106,请问贵校对美术生文科的单科成绩有没有要求，比如语数英，谢谢                                                                                                                                         ,"我校一般对单科成绩无要求具体以我校招生章程为准
"
4107,我想问一下报名时间是在高考前报名还是在高考后填志愿时在报名？需要报名费用吗？                                                                                                                                ,"报名是指艺术类校考报名？我校今年不组织艺术类校考，采用省统考成绩招生。
"
4108,华南师范大学2020届有新疆声乐艺考生的招生指标吗？                                                                                                                                            ,"你好，我校具体招生办法、分省分专业招生计划、录取办法等信息尚未确定，确定后我校将另行发布。
"
4109,请问贵校今年招生四川音乐表演（钢琴）的I学生吗?专业录取成绩是否使用统考成绩？投档线多少？如果在读期间学的双排键电子琴电子钢琴可以改专业钢琴.钢琴伴奏吗？                                                                                         ,"根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计、数字...[详细]
"
4110,请问贵校在海南是否有招收音乐类艺考生的计划？                                                                                                                                                ,"你好，具体招生办法、分省分专业招生计划、录取办法等信息现在暂未确定，我校将另行发布。
"
4111,华南师范大学  2020-03-2509:18请问去年在陕西录取的美术类各专业的平均分和最低分是多少？答我现在手头没有数据，这两天回办公室电脑查了回复你                                                                                          ,"2019年陕西省录取原则：在考生高考统考文化课成绩和专业课成绩均合格的基础上，按照专业课成绩从高分到低分投档录取，专业课成绩相同时按文化课成绩位次由高到低依次录取。2019年陕西美术类最低录取专业成绩260分
"
4112,我是上海音乐学考生，贵校有在上海招生吗？有校考吗？不知是否错过报名时间！谢谢！                                                                                                                               ,"你好，根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计...[详细]
"
4113,请问2019年山东美术生需要文化课、专业课多少分报考贵校                                                                                                                                          ,"明后天回办公室电脑查询后告诉你
"
4114,请问去年在陕西录取的美术类各专业的平均分和最低分是多少？                                                                                                                                          ,"我现在手头没有数据，这两天回办公室电脑查了回复你
"
4115,老师觉得是联考录取好还是校考录取好                                                                                                                                                     ,"""我校今年使用考生所在省份提供的统考成绩作为考生的专业考试成绩。具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将在另行发布"
4116,请问贵校会招湖南的琵琶生吗                                                                                                                                                         ,"""你好，我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将在另行发布"
4117,有华中师大湖南省招生咨询群吗                                                                                                                                                        ,"没有招生咨询群我们是华南师范大学
"
4118,您好！贵校2020年招福建美术生吗？并且专业成绩和文化成绩分别多少分，才有可能被录取。谢谢！                                                                                                                        ,"根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计、数字...[详细]
"
4119,老师您好！我想咨询一下贵校近三年在陕西录取美术及设计类各专业的文科生最低及平均分数，谢谢！                                                                                                                         ,"请参考https://zsb.scnu.edu.cn/zhiyuancankao/2019年的还在整理。
"
4120,福建考生，音乐类的，问1：今天福建有招生计划吗？2是否校考还是承认福建联考成绩。如果校考，报名是否来得及。                                                                                                                 ,"你好，根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计...[详细]
"
4121,请问贵校2020年设计专业（艺术类）有港澳台招生政策吗？                                                                                                                                          ,"现在具体的招生省份还在和各省招办确认中    请4月中留意我校官网
"
4122,老师您好，请问贵校今年会在河南招收编导生吗？如果是，请问是按照校考成绩还是统考成绩呢，去年的分数线分数段和招生人数是多少                                                                                                          ,"我校没有编导类专业啊你好，根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计...[详细]
"
4123,湖南联考280分                                                                                                                                                              ,"""你好，我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将在另行发布"
4124,老师您好，音乐学取消校考但没有省内统考（如山东省），成绩如何计算？                                                                                                                                     ,"""你好，我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将在另行发布"
4125,请问在重庆招收音乐类考生吗                                                                                                                                                         ,"""你好，我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将在另行发布"
4126,我是一名广西籍美术生，系理科，不知道贵校今年是否有照生计划                                                                                                                                         ,"一般美术类我校在外省是收文科生，今年最后的艺术类具体招生办法、分省分专业招生计划、录取办法等信息还未确定，请留意我校官网
"
4127,贵校招古筝专业吗                                                                                                                                                              ,"""你好，我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息我校将在另行发布"
4128,老师我是河北舞蹈艺考生！文化课多少分才能报考咱们学校舞蹈学专业！谢谢🙏🙏                                                                                                                                ,"文化课分数线按照河北省划定的分数线    考生文化和术科上线后，各省招办按投档原则投档到我校，我校按照录取原则录取    目前招生专业计划，投档原则尚未确定，请留意我校官网
"
4129,不组织校考的话建议按综合分录用要相对公平些。谢谢！                                                                                                                                             ,"你好，具体招生办法、分省分专业招生计划、录取办法等信息我校确定后将另行发布。
"
4130,请问贵校在福建招舞蹈理科生吗？                                                                                                                                                       ,"我校舞蹈学在外省应该只收文科生
"
4131,如题。                                                                                                                                                                   ,"你好，我校艺术类具体招生办法、分省分专业招生计划、录取办法等信息现在还未确定，具体信息确定后我校将在我校官网另行发布。
"
4132,你好，我是广东省文科美术生，请问贵校文化控制线是按普通生还是艺术生设置？有没有单科成绩要求？招不招日语考生？是按综合分数录取吗？综合分数的计算方法是什么？                                                                                         ,"你好，我是广东省文科美术生，请问贵校文化控制线是按普通生还是艺术生设置？按照广东省艺术类分数线有没有单科成绩要求？学校不另外设置单科要求招不招日语考生？不限考生语种，但是本校公共外语教学为英语，请非英语语种考生慎重报考。是按综合分数录取吗？综合分数的计算方法是什么？我校...[详细]
"
4133,您好，贵校今年河北省有招生计划吗，音乐学丶音乐教育、音乐表演长笛河北招几人，建议多少分填志愿                                                                                                                        ,"你好，根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计...[详细]
"
4134,请问贵校环景设计专业有研究生部吗？或者本科毕业后可以考贵校哪些专业的研究生？就业情况如何？谢谢！                                                                                                                      ,"我校美术学院有研究生，具体可参考http://statics.scnu.edu.cn/pics/zsb/2019/0621/1561084661102437.pdf
"
4135,招小提琴艺术生吗？需要校考吗？                                                                                                                                                       ,"你好，根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计...[详细]
"
4136,请问贵校会招湖南琵琶生吗                                                                                                                                                          ,"你好，根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计...[详细]
"
4137,老师好，请问贵校的“美术学（师范）”专业，毕业后是可以当美术老师吗？是不是还要考取“美术类的教师资格证”呢？                                                                                                                ,"同学您好，美术学专业可以选择毕业后当老师。现在国家要求所有中小学教师都要有教师资格证，所以美术学专业的学生如果想当老师也要先考取教师资格证
"
4138,大概是在什么时候出简章                                                                                                                                                           ,"你好，根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计...[详细]
"
4139,在年前没发布有关不组织音乐校考外省考生觉得挺突然的因为我是在广州集训的就是奔着华师去的希望不负集训时光贵校在招生计划时是会对各省各专业都涉及到嘛还是选择性招某个省的某个专业                                                                                ,"是的，我校美术类是2019年就采用联考术科成绩招生了，音乐今年也是不组织校考，直接使用考生所在省份提供的统考成绩作为考生的专业考试成绩。具体录取方法和哪些省哪些专业招生等信息还未确定，确定后我校将在我校招考处官网发布。
"
4140,今年计划招山西古筝专业的学生吗？有多少名额，文化和专业大概需要多少分？需要校考吗                                                                                                                              ,"你好，根据《教育部教学司关于做好2020年普通高校特殊类型招生工作的通知》（教学厅【2019】10号）文件精神，结合我校招生及人才培养工作的实际，我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计...[详细]
"
4141,贵校钢琴专业是否在河北招生                                                                                                                                                         ,"你好，我校我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和本科招生校考，直接使用考生所在省份提供的统考成绩作为考生的专业考试成绩。具体招生办法、分省分专业招生计划、录取办法还未确定，确定后将在我校官网另行发布这些信息。
"
4142,专业统考233分，文化多少分可以上贵校？有文理分省计划吗？                                                                                                                                         ,"你好，我校今年美术类采用考生所在省份提供的统考成绩作为考生的专业考试成绩，美术类外省只收文科生。但是因为我校的招生录取办法还未确定，所以暂时无法估计录取分数。
"
4143,请问贵校今年在甘肃有招生计划吗，如果有，招多少学生                                                                                                                                             ,"你好，具体专业招生办法、分省招生计划、录取规则还未确定，确定后我校将在官网发布这些信息。
"
4144,招小提琴艺术生吗需要校考吗？                                                                                                                                                        ,"你好，我校我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和本科招生校考，直接使用考生所在省份提供的统考成绩作为考生的专业考试成绩。具体招生办法、分省分专业招生计划、录取办法这些信息我校将另行发布。
"
4145,贵校今年是否在甘肃有音乐表演（声乐）招生计划                                                                                                                                                ,"你好，我校我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和本科招生校考，直接使用考生所在省份提供的统考成绩作为考生的专业考试成绩。具体招生办法、分省分专业招生计划、录取办法现在还未确定，确定后我校将另行发布。
"
4146,统考如何录取                                                                                                                                                                ,"你好，统考的具体招生办法、分省分专业招生计划、录取办法还未确定，确定后将在我校官网另行发布这些信息。
"
4147,是按综合分录取吗？                                                                                                                                                             ,"你好，我校我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和本科招生校考，直接使用考生所在省份提供的统考成绩作为考生的专业考试成绩。具体招生办法、分省分专业招生计划、录取办法还未确定，确定后将在我校官网另行发布这些信息。
"
4148,今年贵校的艺术校考是取消了，用联考与高考的综合分考取了吗？                                                                                                                                         ,"我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计、数字媒体艺术五个专业）本科招生校考，直接使用考生所在省份提供的统考成绩作为考生的专业考试成绩。具体招生办法、分省分专业招生计划、录取办...[详细]
"
4149,请问华南师范艺术舞蹈专业还可以报名吗？                                                                                                                                                   ,"我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计、数字媒体艺术五个专业）本科招生校考，直接使用考生所在省份提供的统考成绩作为考生的专业考试成绩。具体招生办法、分省分专业招生计划、录取办...[详细]
"
4150,今年怎么还没出招生简章？会承认湖南音乐的统考成绩吗？                                                                                                                                            ,"我校自2020年起不再组织音乐与舞蹈学（含音乐学、音乐表演、舞蹈学三个专业）和美术学与设计学类（含美术学、视觉传达设计、环境设计、产品设计、数字媒体艺术五个专业）本科招生校考，直接使用考生所在省份提供的统考成绩作为考生的专业考试成绩。具体招生办法、分省分专业招生计划、录取办...[详细]
"
4151,今年的舞蹈类招生计划如何？                                                                                                                                                         ,"目前专业计划还没定。艺术类具体招生办法、分省分专业招生计划、录取办法等信息我校将另行发布。
"
